,Week,Event,Location,Date,Time,Address
0,1,Centerpoint Trivia Night,Centerpoint Brewing,"October 21, 2021-August 11, 2022",7:00 PM,"1125 E Brookside Ave Suite 2B, Indianapolis, IN 46202, United States"
1,1,Tembo Camp - A New Elephant Experience,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not Listed,"1200 W Washington St, Indianapolis, IN 46222, United States"
2,1,The Basement in 30 Tour,Indianapolis Motor Speedway Museum,"October 18, 2021-December 31, 2022",10:00 AM,"4750 W 16th St, Indianapolis, IN 46222, United States"
3,1,Alligators and Crocodiles - The Fight to Survive,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not listed,"1200 W Washington St, Indianapolis, IN 46222, United States"
4,1,THE LUME Indianapolis,Newfields - A Place for Nature & the Arts,"October 18, 2021-May 31, 2022",Not listed,"4000 N Michigan Rd, Indianapolis, IN 46208, United States"
5,1,Mind Tripping Show - A Comedy with a Psychological Twist,Hilton Indianapolis Hotel & Suites,"October 22, 2021-December 31, 2022",8:00 PM,"120 W Market St, Indianapolis, IN 46204, United States"
6,1,Steel Magnolias,Indiana Repertory Theatre,"May 10-June 5, 2022",Not Listed,"140 W Washington St, Indianapolis, IN 46204, United States"
7,1,Kangaroo Crossing,Indianapolis Zoo,"May 28, 2022-December 31, 2024",Not Listed,"1200 W Washington St, Indianapolis, IN 46222, United States"
0,3,Centerpoint Trivia Night,Centerpoint Brewing,"October 21, 2021-August 11, 2022",7:00 PM,"1125 E Brookside Ave Suite 2B, Indianapolis, IN 46202, United States"
1,3,Talbot Street Art Fair,Talbot Street/Herron-Morton Place Historic District,"June 18-19, 2022",Not Listed,"Herron Morton, Indianapolis, IN 46202, USA"
2,3,Tembo Camp - A New Elephant Experience,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not Listed,"1200 W Washington St, Indianapolis, IN 46222, United States"
3,3,The Basement in 30 Tour,Indianapolis Motor Speedway Museum,"October 18, 2021-December 31, 2022",10:00 AM,"4750 W 16th St, Indianapolis, IN 46222, United States"
4,3,Alligators and Crocodiles - The Fight to Survive,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not listed,"1200 W Washington St, Indianapolis, IN 46222, United States"
5,3,Mind Tripping Show - A Comedy with a Psychological Twist,Hilton Indianapolis Hotel & Suites,"October 22, 2021-December 31, 2022",8:00 PM,"120 W Market St, Indianapolis, IN 46204, United States"
6,3,Kangaroo Crossing,Indianapolis Zoo,"May 28, 2022-December 31, 2024",Not Listed,"1200 W Washington St, Indianapolis, IN 46222, United States"
0,5,Centerpoint Trivia Night,Centerpoint Brewing,"October 21, 2021-August 11, 2022",7:00 PM,"1125 E Brookside Ave Suite 2B, Indianapolis, IN 46202, United States"
1,5,Tedeschi Trucks Band - Wheels of Soul,The TCU Amphitheater at White River State Park,"June 28, 2022",6:30 PM,"801 W Washington St, Indianapolis, IN 46204, United States"
2,5,Barenaked Ladies - Last Summer on Earth Tour,The TCU Amphitheater at White River State Park,"July 1, 2022",7:00 PM,"801 W Washington St, Indianapolis, IN 46204, United States"
3,5,Tembo Camp - A New Elephant Experience,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not Listed,"1200 W Washington St, Indianapolis, IN 46222, United States"
4,5,The Basement in 30 Tour,Indianapolis Motor Speedway Museum,"October 18, 2021-December 31, 2022",10:00 AM,"4750 W 16th St, Indianapolis, IN 46222, United States"
5,5,Alligators and Crocodiles - The Fight to Survive,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not listed,"1200 W Washington St, Indianapolis, IN 46222, United States"
6,5,Mind Tripping Show - A Comedy with a Psychological Twist,Hilton Indianapolis Hotel & Suites,"October 22, 2021-December 31, 2022",8:00 PM,"120 W Market St, Indianapolis, IN 46204, United States"
7,5,Kangaroo Crossing,Indianapolis Zoo,"May 28, 2022-December 31, 2024",Not Listed,"1200 W Washington St, Indianapolis, IN 46222, United States"
0,7,Centerpoint Trivia Night,Centerpoint Brewing,"October 21, 2021-August 11, 2022",7:00 PM,"1125 E Brookside Ave Suite 2B, Indianapolis, IN 46202, United States"
1,7,5 Seconds of Summer - No Shame Tour,The TCU Amphitheater at White River State Park,"July 15, 2022",Not Listed,"801 W Washington St, Indianapolis, IN 46204, United States"
2,7,Tembo Camp - A New Elephant Experience,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not Listed,"1200 W Washington St, Indianapolis, IN 46222, United States"
3,7,The Basement in 30 Tour,Indianapolis Motor Speedway Museum,"October 18, 2021-December 31, 2022",10:00 AM,"4750 W 16th St, Indianapolis, IN 46222, United States"
4,7,Alligators and Crocodiles - The Fight to Survive,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not listed,"1200 W Washington St, Indianapolis, IN 46222, United States"
5,7,Mind Tripping Show - A Comedy with a Psychological Twist,Hilton Indianapolis Hotel & Suites,"October 22, 2021-December 31, 2022",8:00 PM,"120 W Market St, Indianapolis, IN 46204, United States"
6,7,Kangaroo Crossing,Indianapolis Zoo,"May 28, 2022-December 31, 2024",Not Listed,"1200 W Washington St, Indianapolis, IN 46222, United States"
0,9,Centerpoint Trivia Night,Centerpoint Brewing,"October 21, 2021-August 11, 2022",7:00 PM,"1125 E Brookside Ave Suite 2B, Indianapolis, IN 46202, United States"
1,9,Goo Goo Dolls - The Miracle Pill Summer Tour with Lifehouse and Forest Blakk,The TCU Amphitheater at White River State Park,"August 5, 2022",Not Listed,"801 W Washington St, Indianapolis, IN 46204, United States"
2,9,Matchbox Twenty with special guest The Wallflowers,Ruoff Music Center,"August 6, 2022",Not Listed,"12880 E 146th St, Noblesville, IN 46060, United States"
3,9,Tembo Camp - A New Elephant Experience,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not Listed,"1200 W Washington St, Indianapolis, IN 46222, United States"
4,9,The Basement in 30 Tour,Indianapolis Motor Speedway Museum,"October 18, 2021-December 31, 2022",10:00 AM,"4750 W 16th St, Indianapolis, IN 46222, United States"
5,9,Alligators and Crocodiles - The Fight to Survive,Indianapolis Zoo,"October 18, 2021-December 31, 2023",Not listed,"1200 W Washington St, Indianapolis, IN 46222, United States"
6,9,Mind Tripping Show - A Comedy with a Psychological Twist,Hilton Indianapolis Hotel & Suites,"October 22, 2021-December 31, 2022",8:00 PM,"120 W Market St, Indianapolis, IN 46204, United States"
7,9,Kangaroo Crossing,Indianapolis Zoo,"May 28, 2022-December 31, 2024",Not Listed,"1200 W Washington St, Indianapolis, IN 46222, United States"
